City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Albany,42.6001,-73.9662,55.0,73,100,1.01,US,1619796182
Yellowknife,62.456,-114.3525,27.0,93,90,14.97,CA,1619795602
Rikitea,-23.1203,-134.9692,78.46,75,58,18.63,PF,1619796385
Gombong,-7.6072,109.5142,55.0,100,73,2.98,ID,1619796385
Arraial do Cabo,-22.9661,-42.0278,77.0,69,40,9.22,BR,1619796386
Ancud,-41.8697,-73.8203,55.99,100,90,12.66,CL,1619795941
Ushuaia,-54.8,-68.3,41.0,87,40,2.06,AR,1619796182
Mahébourg,-20.4081,57.7,78.8,78,75,13.8,MU,1619795784
Punta Arenas,-53.15,-70.9167,41.0,93,75,9.22,CL,1619796387
Manokwari,-0.8667,134.0833,78.67,81,100,5.44,ID,1619796334
Mount Isa,-20.7333,139.5,66.2,39,0,5.75,AU,1619796175
Cayenne,4.9333,-52.3333,82.4,83,75,4.61,GF,1619795809
Busselton,-33.65,115.3333,51.01,96,89,4.07,AU,1619796281
Adrar,20.5022,-10.0711,90.61,23,93,4.74,MR,1619796005
Warrington,53.3925,-2.5802,55.0,66,90,4.61,GB,1619796395
Cape Town,-33.9258,18.4232,64.4,52,0,19.57,ZA,1619796234
Khomutovo,52.4658,104.4025,39.2,60,0,6.71,RU,1619796396
Codrington,-38.2667,141.9667,57.72,48,68,9.48,AU,1619796036
Jamestown,42.097,-79.2353,45.0,75,75,21.85,US,1619796119
Chudovo,59.1167,31.6833,44.51,71,100,4.81,RU,1619796403
Kremenki,54.885,37.1261,62.6,48,0,13.42,RU,1619796404
Kapaa,22.0752,-159.319,71.6,83,90,13.8,US,1619796107
Barrow,71.2906,-156.7887,19.4,86,90,4.61,US,1619796404
Hilo,19.7297,-155.09,71.6,83,90,5.75,US,1619796405
Castro,-24.7911,-50.0119,65.97,56,24,11.88,BR,1619795917
Leningradskiy,69.3833,178.4167,12.42,94,87,14.14,RU,1619795952
Hithadhoo,-0.6,73.0833,84.04,73,19,8.01,MV,1619795820
Kiunga,-6.1219,141.2906,72.82,97,100,1.81,PG,1619796190
Bluff,-46.6,168.3333,41.0,93,40,3.0,NZ,1619796406
Vanavara,60.34,102.2797,35.01,86,100,6.6,RU,1619796406
Vaini,-21.2,-175.2,75.2,94,90,8.05,TO,1619795816
